Part Name,Quantity,Link
RP2040,1,https://lcsc.com/product-detail/C2040.html
CYPD3177-24LQ,1,https://lcsc.com/product-detail/C5904158.html
W25Q32JVSS,1,https://lcsc.com/product-detail/C82344.html
GT-USB-7010AN,1,https://lcsc.com/product-detail/C963370.html
ABM8-272-T3_C20625731,1,https://lcsc.com/product-detail/C20625731.html
TS24CA,3,https://lcsc.com/product-detail/C393942.html
AP63203WU-7,1,https://lcsc.com/product-detail/C780769.html
Zener Diode,2,https://lcsc.com/product-detail/C82088.html
NPN,1,https://lcsc.com/product-detail/C5338312.html
AOD409-HXY,2,https://lcsc.com/product-detail/C6285771.html
Green Led,2,https://lcsc.com/product-detail/C7496818.html
Amber Led,2,https://lcsc.com/product-detail/C165983.html
Red Led,3,https://lcsc.com/product-detail/C965799.html
18pF,2,https://lcsc.com/product-detail/C106202.html
100nF,12,https://lcsc.com/product-detail/C60474.html
10uF,3,https://lcsc.com/product-detail/C2762594.html
1uF,6,https://lcsc.com/product-detail/C1592.html
4.7uF,1,https://lcsc.com/product-detail/C51205.html
4.7uH,1,https://lcsc.com/product-detail/C41413058.html
470ohm,7,https://lcsc.com/product-detail/C25117.html
49.9kohm,1,https://lcsc.com/product-detail/C25897.html
4.7kohm,1,https://lcsc.com/product-detail/C25900.html
5.1kohm,1,https://lcsc.com/product-detail/C25905.html
10kohm,1,https://lcsc.com/product-detail/C60490.html
1kohm,5,https://lcsc.com/product-detail/C106235.html
27ohm,2,https://lcsc.com/product-detail/C138021.html
Pin Headers,1,https://lcsc.com/product-detail/C7501275.html
